SINONIMIA,MEDICAMENTO
HYOSCYAMUS PERUVIANA                              ,TABACUM
HYOSCYAMUS VULGARIS                               ,HYOSCYAMUS NIGER
HYPERICUM                                         ,HYPERICUM PERFORATUM
HYPERICUM OFFICINALE                              ,HYPERICUM PERFORATUM
HYPERICUM PERF                                    ,HYPERICUM PERFORATUM
HYPERICUM PSEUDO-PERFORATUM                       ,HYPERICUM PERFORATUM
HYPERICUM VIRGINICUM                              ,HYPERICUM PERFORATUM
HYPERICUM VULGARE                                 ,HYPERICUM PERFORATUM
HYPOPHOSPHIS SODICUS                              ,NATRUM HYPOPHOSPHOROSUM
HYPOPHYSINUM                                      ,HYPOPHYSIS
HYPOPHYSIS ANTERIOR LOBO                          ,LOBO ANTERIOR HIPOFISE
HYPOPHYSIS POSTERIOR LOBO                         ,LOBO POSTERIOR HIPOFISE
HYPOPORUM NUTANS                                  ,ANATHERUM MURICATUM
HYSSOPUS OFF                                      ,HYSSOPUS OFFICINALIS
IAMARA                                            ,IGNATIA AMARA
IBERIS                                            ,IBERIS AMARA
IBERIS AM                                         ,IBERIS AMARA
ICHTHYOLAMMONIUM                                  ,ICHTHYOLUM
ICHTHYOLUM                                        ,ICHTHYOLUM
ICHTYOTOXINUM                                     ,SERUM ANGUILLAE
ICTIOL (H)                                        ,ICHTHYOLUM
ICTODES FOETIDUS                                  ,POTHOS FOETIDUS
IG A                                              ,IMUNOGLOBULINA A
IG E                                              ,IMUNOGLOBULINA E
IG G                                              ,COLOSTRUM BOVINUM
IG M                                              ,IMUNOGLOBULINA M
IGNATIA                                           ,IGNATIA AMARA
IGNATIANA PHILIPENSIS                             ,IGNATIA AMARA
IGNATIANA PHILIPINICA                             ,IGNATIA AMARA
ILEX CANADENSIS                                   ,ILEX AQUIFOLIUM
ILLICIUM ANISATUM                                 ,ANISUM STELLATUM
ILLICIUM VERUM                                    ,ANISUM STELLATUM
IMEDIA TINTURA CAPILAR                            ,TINTURA CAPILAR IMEDIA
IMIPRAMINA (H)                                    ,IMIPRAMINA CLORIDRATO
IMUNOGLOBULINA G                                  ,COLOSTRUM BOVINUM
IMUNOGLOBULINA HUMANA                             ,IMUNOGLOBULINA A
INDIAN COCKROACH                                  ,BLATTA ORIENTALIS
INDIAN FIG OPUNTIA                                ,FICUS INDICA
INDIAN PEAFOWL                                    ,PAVO CRISTATUS
INDICUM                                           ,INDIGO
INDIGOFERA ARGENTEA                               ,INDIGO
INDIGOFERA INDICA                                 ,INDIGO
INDIGOFERA TINCTORIA                              ,INDIGO
INDIGUM                                           ,INDIGO
INDIUM                                            ,INDIUM METALLICUM
INDIUM MET                                        ,INDIUM METALLICUM
INDIUM PHOSPHIDE                                  ,INDIUM PHOSPHORATUM
INDOL                                             ,INDOLUM
INDOMETACINA (H)                                  ,INDOMETACINUM
INERTES (H)                                       ,SACCHARUM LACTIS
INFLUENZA H1N1 2018                               ,INFLUENZA A H1N1 2018
INFLUENZA H1N1 2018 (TRIVALENTE)                  ,INFLUENZA A H1N1 2018
INFLUENZA H1N1 2019                               ,INFLUENZA H1N1 2019 (QUADRIVALENTE)
INFLUENZA H1N1 2021 (TETRAVALENTE)                ,INFLUENZINUM 2021
INFLUENZINUM 2021 (TETRAVALENTE)                  ,INFLUENZINUM 2021
INFLUENZINUM 2023 TETRAVALENTE                    ,INFLUENZINUM 2023
INFLUENZINUM H1N1 2019                            ,INFLUENZA H1N1 2019 (QUADRIVALENTE)
INFLUENZINUN H1N1 2018                            ,INFLUENZA A H1N1 2018
INHAME SELVAGEM(H)                                ,DIOSCOREA VILLOSA
INSETOFAGOIDINUM                                  ,INSETUM FAGOIDINUM
INSETOS SUGADORES                                 ,INSETUM FAGOIDINUM
INSULINA                                          ,INSULINUM
INSULINA ACAO PROLONGADA                          ,INSULINUM
INSULINA ACAO RAPIDA                              ,INSULINA HUMANA REGULAR
INSULINA HUMANA ACAO PROLONGADA                   ,INSULINUM
INSULINA HUMANA ACAO RAPIDA                       ,INSULINA HUMANA REGULAR
INSULINA LENTA                                    ,INSULINUM
INSULINA VEGETAL (CISSUS SICYOIDES)               ,CISSUS SICYOIDES
INTERFERON                                        ,INTERFERON ALFA-2B
INTERFERON ALFA 2A HUM REC                        ,INTERFERON ALFA 2A HUMANO RECOMB
INTESTINO MUCOSA                                  ,MUCOSA INTESTINAL
INTYBUS ANGUSTUS                                  ,LACTUCA VIROSA
INULA                                             ,INULA HELENIUM
INULA HELENIA                                     ,INULA HELENIUM
IODETUM FERROSUM                                  ,FERRUM IODATUM
IODINIUM                                          ,IODIUM
IODIUM METALLICUM                                 ,IODIUM
IODIUM PURIFICATUM                                ,IODIUM
IODOFORMUM                                        ,IODOFORMIUM
IODOTHYRINUM                                      ,THYREOIDINUM
IODUM                                             ,IODIUM
IODUM METALLICUM                                  ,IODIUM
IODUM PURUM                                       ,IODIUM
IODUM SULPHURATUM                                 ,SULPHUR IODATUM
IODURETUM ARSENICOSUM                             ,ARSENICUM IODATUM
IODURETUM HYDRARGYRICUM                           ,MERCURIUS IOD RUB
IODURETUM HYDRARGYROSUM                           ,MERCURIUS IODATUS FLAVUS
IODURETUM KALICUM                                 ,KALI IODATUM
IODURETUM PLUMBICUM                               ,PLUMBUM IODATUM
IODURETUM POTASSICUM                              ,KALI IODATUM
IODURETUM SULPHURIS                               ,SULPHUR IODATUM
IODURETUM ZINCICUS                                ,ZINCUM IODATUM
IOGURTE(H)                                        ,IOGURTE DE MORANGO ITAMBE
IPADU                                             ,HAYO
IPE ROXO                                          ,TECOMA CURIALIS
IPECA                                             ,IPECACUANHA
IPECACUANHA FUSCA                                 ,IPECACUANHA
IPECACUANHA OFFICINALIS                           ,IPECACUANHA
IPOMOEA BONA                                      ,IPOMOEA
IPOMOEA JALAPA                                    ,JALAPA
IPOMOEA PURGA                                     ,JALAPA
IPOMOEA SCHIEDEANA                                ,JALAPA
IRESINE CELOSIOIDES                               ,ACHYRANTHES CALEA
IRIDIUM                                           ,IRIDIUM METALLICUM
IRIDIUM CHLORATUM                                 ,IRIDIUM MURIATICUM
IRIDIUM CHLORID                                   ,IRIDIUM MURIATICUM
IRIDIUM MET                                       ,IRIDIUM METALLICUM
IRIDIUM MUR                                       ,IRIDIUM MURIATICUM
IRIS                                              ,IRIS VERSICOLOR
IRIS HEXAGONA                                     ,IRIS VERSICOLOR
IRIS MINOR                                        ,IRIS TENAX
IRIS NOBILIS                                      ,CORALLIUM RUBRUM
IRIS VERS                                         ,IRIS VERSICOLOR
IRISH MURVEY GRANITE                              ,GRANITUM
ISIS NOBILIS                                      ,CORALLIUM RUBRUM
ISOFLAVONAS DE SOJA (H)                           ,ISOFLAVONA DE SOJA
ISOTERAPICO FEBRE AMARELA                         ,ISOTERAPICO FEBRE AMARELA 2017
ISOTERAPICO HEPATITE A                            ,HEPATITE A
ISOTERAPICO PENTAVALENTE                          ,"DIFTERIA, TETANO, PERTUSSIS, POLIO E H INFLUEZAE B"
ISOTERAPICO PNEUMOCOCICA 13-VALENTE (CONJUGADA)   ,ISOTERAPICO PNEUMOCOCICA
ISOTERAPICO POLIOMIELITE                          ,ISOTERAPICO SABIN
"ISOTERAPICO ROTAVIRUS,VIVO,ORAL,PENTAVALENTE      ",ISOTEAPICO ROTAVIRUS
ISOTERAPICO TRIPLICE BACTERIANA                   ,"DIFTERIA, TETANO E PERTUSSIS"
ISOTERAPICO TRIPLICE VIRAL (MMR)                  ,"ISOTERAPICO SARAMPO, CAXUMBA E RUBEOLA"
ISOTERAPICO VARICELA                              ,VARICELLA
ITERBIO                                           ,YTTERBIUM METALLICUM
IVA MONOPHYLLA                                    ,AMBROSIA ARTEMISIAEFOLIA
JABORANDI                                         ,PILOCARPUS JABORANDI
JACARANDA BRAZILIENSIS                            ,JACARANDA
JACARANDA CAROBA                                  ,JACARANDA
JACARANDA COPAIA                                  ,JACARANDA
JACEA                                             ,VIOLA TRICOLOR
JADE GREEN                                        ,JADE
JAGUAR                                            ,PANTHERA ONCA
JAMBOLANUM                                        ,SYZYGIUM JAMBOLANUM
JAMBOLAO                                          ,SYZYGIUM JAMBOLANUM
JAMBORANDI                                        ,PILOCARPUS JABORANDI
JAMBOSA VULGARIS                                  ,EUGENIA JAMBOSA
JAMELAO                                           ,SYZYGIUM JAMBOLANUM
JARARACA                                          ,BOTHROPS LANCEOLATUS
JARSIN (H)                                        ,HYPERICUM PERFORATUM
JASMINUM                                          ,JASMINUM OFFICINALE
JASMINUM ARABICUM                                 ,COFFEA CRUDA
JASMINUM LUTEUM                                   ,GELSEMIUM SEMPERVIRENS
JASMINUM LUTEUM ODORATUM                          ,GELSEMIUM SEMPERVIRENS
JASMINUM OFF                                      ,JASMINUM OFFICINALE
JATAMANSI                                         ,SUMBULUS MOSCHATUS
JEQUIRITI                                         ,ABRUS PRECATORIUS
JODIUM                                            ,IODIUM
JODOFORMIUM                                       ,IODOFORMIUM
JODUM                                             ,IODIUM
JODURETUM AMMONICUM                               ,AMMONIUM IODATUM
JODURETUM ARSENICI                                ,ARSENICUM IODATUM
JOELHO CARTILAGEM                                 ,CARTILAGEM DE JOELHO
JOELHO LIGAMENTO                                  ,LIGAMENTO JOELHO
JOELHO MENISCO                                    ,MENISCO JOELHO
JUCA                                              ,CAESALPHINEA FERREA
JUGLANS                                           ,JUGLANS REGIA
JUGLANS CATHARTICA                                ,JUGLANS CINEREA
JUGLANS OBLONGA                                   ,JUGLANS CINEREA
JUNCUS                                            ,JUNCUS EFFUSUS
JUNCUS COMMUNIS                                   ,JUNCUS EFFUSUS
JUNCUS LAEVIS                                     ,JUNCUS EFFUSUS
JUNIPARUS COM                                     ,JUNIPERUS COMMUNIS
JUNIPERUS BRASILIENSIS                            ,CATUABA
JUNIPERUS FOETIDA                                 ,SABINA OFFICINALIS
JUNIPERUS LYCIA                                   ,SABINA OFFICINALIS
JUNIPERUS PROSTATA                                ,SABINA OFFICINALIS
JUNIPERUS SABINA                                  ,SABINA OFFICINALIS
JUNIPERUS VIRG                                    ,JUNIPERUS VIRGINIANA
JURUBEBA                                          ,SOLANUM PANICULATA
JUSQUIAMI                                         ,HYOSCYAMUS NIGER
JUSTITIA ADH                                      ,JUSTICIA ADHATODA
KAKERLAT AMERICANA                                ,BLATTA AMERICANA
KALI ARS                                          ,KALI ARSENICOSUM
KALI ARSENIATUM                                   ,KALI ARSENICOSUM
KALI ARSENIOSUM                                   ,KALI ARSENICOSUM
KALI BICH                                         ,KALI BICHROMICUM
KALI BICHROMAS                                    ,KALI BICHROMICUM
KALI BROM                                         ,KALI BROMATUM
KALI CAUSTICUM FUSUM                              ,KALI CAUSTICUM
KALI CHLORATUM                                    ,KALI MURIATICUM
KALI CHROMICUM RUBRUM                             ,KALI BICHROMICUM
KALI CYANIDUM                                     ,KALI CYANATUM
KALI CYANURETUM                                   ,KALI CYANATUM
KALI DICHROMAS                                    ,KALI BICHROMICUM
KALI DICHROMATE                                   ,KALI BICHROMICUM
KALI DIOXALICUM                                   ,KALI OXALICUM
KALI FERROCYANATUM                                ,KALI CYANATUM
KALI HYDROBROMICUM                                ,KALI BROMATUM
KALI HYDROCHLORICUM                               ,KALI MURIATICUM
KALI HYDROCYANICUM                                ,KALI CYANATUM
KALI HYDROIODICUM                                 ,KALI IODATUM
KALI HYPEROXYGENATUM                              ,KALI CHLORICUM
KALI HYPOPHOSPHORICUM                             ,KALI HYPOPHOSPHOROSUM
KALI IOD                                          ,KALI IODATUM
KALI MUR                                          ,KALI MURIATICUM
KALI MURIATICUM OXYGENATUM                        ,KALI CHLORICUM
KALI NIT                                          ,KALI NITRICUM
KALI OXALAS                                       ,KALI OXALICUM
KALI OXYMURIATICUM                                ,KALI CHLORICUM
KALI PHOSPH                                       ,KALI PHOSPHORICUM
KALI SILICICUM                                    ,KALI SILICATUM
KALI SILICUM                                      ,KALI SILICATUM
KALI STIBICO TARTARICUM                           ,ANTIMONIUM TARTARICUM
KALI SULPHAS                                      ,KALI SULFURICUM
KALI SULPHURATUM                                  ,KALI SULFURICUM
KALI SULPHURETUM                                  ,KALI SULFURICUM
KALI SULPHURICUM                                  ,KALI SULFURICUM
KALI TARTRAS                                      ,KALI TARTARICUM
KALI-ANTIMONIO TARTRAS                            ,ANTIMONIUM TARTARICUM
KALII ACETAS                                      ,KALI ACETICUM
KALII ARSENIOSUM                                  ,KALI ARSENICOSUM
KALII BICHROMAS                                   ,KALI BICHROMICUM
KALII BROMATUM                                    ,KALI BROMATUM
KALII BROMIDUM                                    ,KALI BROMATUM
KALII CARBONAS                                    ,KALI CARBONICUM
KALII CHLORAS                                     ,KALI CHLORICUM
KALII IODATUM                                     ,KALI IODATUM
KALII NITRAS                                      ,KALI NITRICUM
KALIUM ACETICUM                                   ,KALI ACETICUM
KALIUM ARSENICOSUM                                ,KALI ARSENICOSUM
KALIUM BICHR                                      ,KALI BICHROMICUM
KALIUM BICHROMICUM                                ,KALI BICHROMICUM
KALIUM BIOXALICUM                                 ,KALI OXALICUM
KALIUM BROM                                       ,KALI BROMATUM
KALIUM BROMATUM                                   ,KALI BROMATUM
KALIUM CARB                                       ,KALI CARBONICUM
KALIUM CARBONICUM                                 ,KALI CARBONICUM
KALIUM CAUSTICUM                                  ,KALI CAUSTICUM
KALIUM CHLORATUM                                  ,KALI MURIATICUM
KALIUM CHLORICUM                                  ,KALI CHLORICUM
KALIUM CHLORIDUM                                  ,KALI MURIATICUM
KALIUM CHROMOSULPHURICUM                          ,KALI CHROMOSULPHURICUM
KALIUM CITRICUM                                   ,KALI CITRICUM
KALIUM CYANATUM                                   ,KALI CYANATUM
KALIUM DICHROMICUM                                ,KALI BICHROMICUM
KALIUM FLUORATUM                                  ,KALI FLUORATUM
KALIUM IOD                                        ,KALI IODATUM
KALIUM IODATUM                                    ,KALI IODATUM
KALIUM IODIDUM                                    ,KALI IODATUM
KALIUM JODATUM                                    ,KALI IODATUM
KALIUM MUR                                        ,KALI MURIATICUM
KALIUM MURIATICUM                                 ,KALI MURIATICUM
KALIUM NIT                                        ,KALI NITRICUM
KALIUM NITRICUM                                   ,KALI NITRICUM
KALIUM OXALICUM                                   ,KALI OXALICUM
KALIUM PHOSPH                                     ,KALI PHOSPHORICUM
KALIUM PHOSPHORICUM                               ,KALI PHOSPHORICUM
KALIUM SALYCILICUM                                ,KALI SALYCILICUM
KALIUM SILICATUM                                  ,KALI SILICATUM
KALIUM SILICICUM                                  ,KALI SILICATUM
KALIUM SULFURICUM                                 ,KALI SULFURICUM
KALIUM SULFURICUM CHROMICUM                       ,KALI CHROMOSULPHURICUM
KALIUM TARTARICUM                                 ,KALI TARTARICUM
KALMIA                                            ,KALMIA LATIFOLIA
KANGAROO MILK                                     ,LAC MACROPUS
KAOLINUM                                          ,ALUMINA SILICATA
KATCHUP                                           ,CATCHUP
KAWA-KAWA                                         ,PIPER METHYSTICUM
KERMES                                            ,ANTIMONIUM SULPHURATUM RUBRUM
KERMES MINERALE                                   ,ANTIMONIUM SULPHURATUM RUBRUM
KESAREE                                           ,LATHYRUS SATIVUS
KETCHUP                                           ,CATCHUP
KETOCONAZOL (H)                                   ,CETOCONAZOL
KHELLIN                                           ,KHELLINE
KHUS-KHUS                                         ,ANATHERUM MURICATUM
KILLINGIA ODORATA                                 ,ANATHERUM MURICATUM
KILLINGIA PUMILA                                  ,ANATHERUM MURICATUM
KILLINGIA TRICEPS                                 ,ANATHERUM MURICATUM
KLEBS                                             ,TUBERCULOCIDINUM KLEBS
KLEBSIELLA AEROGENES                              ,ENTEROBACTER AEROGENES
KLEBSIELLA OZENA                                  ,NOSODIO OZENA
KLEBSIELLA SP                                     ,KLEBSIELLA
KOALA                                             ,PHASCOLARCTOS CINEREUS
KOCH                                              ,TUBERCULINUM KOCH
KOLA                                              ,STERCULIA ACUMINATA
KOLA NUT                                          ,STERCULIA ACUMINATA
KONIGSTIGER                                       ,PANTHERA TIGRIS TIGRIS
KOOPAMENIE                                        ,ACALYPHA INDICA
KOSO                                              ,KOUSSO
KRAMERIA CANESCENS                                ,RATANHIA PERUVIANA
KRAMERIA TRIANDRA                                 ,RATANHIA PERUVIANA
KRESOLUM                                          ,KRESOL
KUMAREE                                           ,OLEANDER
KUPPI                                             ,ACALYPHA INDICA
KYANOL                                            ,ANILINUM
L ARGININA (H)                                    ,ARGININA L
L CISTEINA (H)                                    ,CISTEINA L
L LISINA (H)                                      ,LISINA L
L LISINA CLORIDRATO (H)                           ,LISINA L
L TIROXINA SODICA                                 ,THYROXINUM
LA DE CARNEIRO                                    ,LA CAPRINA
LABIRINTO                                         ,OUVIDO INTERNO
LAC AGNINUM                                       ,LAC OVIS ARIES
LAC BOVINUM                                       ,LAC VACCINUM
LAC BOVINUM DEFLORATUM                            ,LAC DEFLORATUM
LAC BUFFALO (INDIAN)                              ,LAC BUFFALO
LAC CANUM                                         ,LAC CANINUM
LAC DOLPHIN                                       ,LAC DELPHINUM
LAC ELEPHAS                                       ,LAC LOXODONTA
LAC EQUUS ASINUM                                  ,LAC ASINUM
LAC LEONTIS                                       ,LAC LEONINUM
LAC LOXODONTA AFRICANA                            ,LAC LOXODONTA
LAC LUPI                                          ,LAC LUPINUM
LAC MACROPUS GIGANTEUS MILK                       ,LAC MACROPUS
LAC MATERNUM                                      ,COLOSTRUM
LAC ORYCTOLAGI CANICULI                           ,LAC ORYCTOLAGINUM
LAC ORYCTOLAGUS                                   ,LAC ORYCTOLAGINUM
LAC OVINUM                                        ,LAC OVIS ARIES
LAC OVIS                                          ,LAC OVIS ARIES
LAC SUINUM                                        ,LAC SUIS
LAC SUUS DOMESTICUS                               ,LAC SUIS
LAC VACC FLOC                                     ,LAC VACCINUM FLOC
LAC VACCINUM DEFLORATUM                           ,LAC DEFLORATUM
LACERIA SALAMANDRA                                ,SALAMANDRA
LACERTA                                           ,LACERTA AGILIS
LACERTA STIRPIUM                                  ,LACERTA AGILIS
LACERTA VIRIDIS                                   ,LACERTA AGILIS
LACHESIS                                          ,LACHESIS TRIGONOCEPHALUS
LACHESIS ATROX JARARACUSSU                        ,BOTHROPS LANCEOLATUS
LACHESIS LANCEOLATUS                              ,BOTHROPS LANCEOLATUS
LACHESIS MUTA                                     ,LACHESIS TRIGONOCEPHALUS
LACHESIS MUTUS                                    ,LACHESIS TRIGONOCEPHALUS
LACHESIS RHOMBEATA                                ,LACHESIS TRIGONOCEPHALUS
LACHESIS TRIG                                     ,LACHESIS TRIGONOCEPHALUS
LACHNANTHES TIN                                   ,LACHNANTHES TINCTORIA
LACTIC ACID                                       ,ACIDUM LACTICUM
LACTICUM ACIDUM                                   ,ACIDUM LACTICUM
LACTICUM ACIDUM DEXTRUM                           ,ACIDUM SARCOLACTICUM
LACTIS ACIDUM                                     ,ACIDUM LACTICUM
LACTOFLAVIN                                       ,VITAMINA B2
LACTOFLAVINUM                                     ,VITAMINA B2
LACTOSE (H)                                       ,SACCHARUM LACTIS
LACTUCA                                           ,LACTUCA VIROSA
LACTUCA CAPICATA                                  ,LACTUCA SATIVA
LACTUCA CRISPA                                    ,LACTUCA SATIVA
LACTUCA FOETIDA                                   ,LACTUCA VIROSA
LACTUCA LACINIATA                                 ,LACTUCA SATIVA
LACTUCA SCARIOLA                                  ,LACTUCA SATIVA
LACTUCA SINNATA                                   ,LACTUCA VIROSA
LACTUCA SYLVESTRIS                                ,LACTUCA SATIVA
LACTUCA VIR                                       ,LACTUCA VIROSA
LAMA GLAMA LHAMA MILK                             ,LAC GLAMA
LAMA PACOS ALPACA' S MILK                         ,LAC PACOS
LAMIUM                                            ,LAMIUM ALBUM
LAMIUM FOLIOSUM                                   ,LAMIUM ALBUM
LAMIUM LAEVIGATUM                                 ,LAMIUM ALBUM
LAMIUM MACULATUM                                  ,LAMIUM ALBUM
LAMIUM VULGATUM                                   ,LAMIUM ALBUM
LAND SNAIL                                        ,HELIX TOSTA
LANTHANUM CARB                                    ,LANTHANUM CARBONICUM
LANTHANUM CARBONATE HYDRATE                       ,LANTHANUM CARBONICUM
LANTHANUM CHLORATUM                               ,LANTHANUM MURIATICUM
LANTHANUM MET                                     ,LANTHANUM METALLICUM
LANTHANUM NITR                                    ,LANTHANUM NITRICUM
LANTHANUM PHOSPH                                  ,LANTHANUM PHOSPHORICUM
LANTHANUM SULPH                                   ,LANTHANUM SULPHURICUM
LAP- BE-E                                         ,ESMERALDA
LAPATHUM                                          ,LAPATHUM ACUTUM
LAPIS CALCAREUS BURREN                            ,LIMESTONE
LAPIS GRANITE MURVEY                              ,GRANITUM
LAPIS MAGNETICUS                                  ,FERRUM MAGNETICUM
LAPIS PUMICIS                                     ,PUMEX
LAPPA MINOR                                       ,LAPPA MAJOR
LAPPA OFFICINALIS                                 ,LAPPA MAJOR
LAPPA TOMENTOSA                                   ,LAPPA MAJOR
LARANJA TERRA                                     ,CITRUS AURANTIUM AMARA
LARREA DIVARICATA                                 ,LARREA TRIDENTATA
LARREA MEXICANA                                   ,LARREA TRIDENTATA
LASIADORA KLUGI                                   ,MYGALE LASIODORA
LATHYRUS                                          ,LATHYRUS SATIVUS
LATHYRUS CICERA                                   ,LATHYRUS SATIVUS
LATHYRUS SAT                                      ,LATHYRUS SATIVUS
LATRODECTUS CURACAVICUS                           ,THERIDION CURASSAVICUM
LATRODECTUS CURASSAVIENSIS                        ,THERIDION CURASSAVICUM
LATRODECTUS INSULARIS                             ,LATRODECTUS MACTANS
LATRODECTUS MAC                                   ,LATRODECTUS MACTANS
LATRODECTUS PERFIDUS                              ,LATRODECTUS MACTANS
LAUDANUM                                          ,THEBAICUM
LAUREOLA                                          ,MEZEREUM
LAUROCERASUS OFFICINALIS                          ,LAUROCERASUS
LAURUS ANGUSTA                                    ,LAURUS NOBILIS
LAURUS CAMPHORA                                   ,CAMPHORA
LAURUS CASSIA                                     ,CINNAMOMUM CEYLANICUM
LAURUS CINNAMOMUM                                 ,CINNAMOMUM CEYLANICUM
LAURUS PERSEA                                     ,PERSEA GRATISSIMA
LAURUS SALICIFOLIA                                ,LAURUS NOBILIS
LAURUS SASSAFRAS                                  ,SASSAFRAS OFFICINALE
LAURUS TENUIFOLIA                                 ,LAURUS NOBILIS
LAURUS UNDULATA                                   ,LAURUS NOBILIS
LAURUS VULGARIS                                   ,LAURUS NOBILIS
LAVANDULA                                         ,LAVANDULA OFFICINALIS
LAVANDULA ANGUSTIFOLIA                            ,LAVANDULA OFFICINALIS
LAVANDULA HETEROPHYLLA                            ,LAVANDULA OFFICINALIS
LAVANDULA OFF                                     ,LAVANDULA OFFICINALIS
LAVANDULA PYRENAICA                               ,LAVANDULA OFFICINALIS
LAVANDULA SPICA                                   ,LAVANDULA OFFICINALIS
LAVANDULA VERA                                    ,LAVANDULA OFFICINALIS
LAVANDULA VULGARIS                                ,LAVANDULA OFFICINALIS
LEAD                                              ,PLUMBUM METALLICUM
LECHEA MAJOR                                      ,CISTUS CANADENSIS
LECITHIN                                          ,LECITHINUM
LEDUM                                             ,LEDUM PALUSTRE
LEDUM DECUMBENS                                   ,LEDUM PALUSTRE
LEDUM FLORIBUS BULLATIS                           ,KALMIA LATIFOLIA
LEDUM PAL                                         ,LEDUM PALUSTRE
LEDUM SILESIANUM                                  ,LEDUM PALUSTRE
LEITE DE CABRA                                    ,LAC CAPRINUM
LEITE DE OVELHA                                   ,LAC OVIS ARIES
LEITE DE SOJA                                     ,LEITE SOJA
LEITE DE VACA                                     ,LAC VACCINUM
LEITE EM PO                                       ,LEITE NINHO NESTLE
LEITE FERMENTADO                                  ,LEITE FERMENTADO YAKULT
LEITE INTEGRAL LG                                 ,LEITE INTEGRAL PASTEURIZADO
LEMNA VULGARIS                                    ,LEMNA MINOR
LEON                                              ,LAC LEONINUM
LEONTICE THALICTROIDES                            ,CAULOPHYLLUM THALICTROIDES
LEONTOPEALON   THALICTROIDES                      ,CAULOPHYLLUM THALICTROIDES
LEONURUS                                          ,LEONURUS CARDIACA
LEONURUS CARD                                     ,LEONURUS CARDIACA
LEOPARD (URINA)                                   ,PANTHERA PARDUS (URINA)
LEOPARD(SANGUE)                                   ,PANTHERA PARDUS (SANGUE)
LEPIDIUM SATIVUM                                  ,LEPIDIUM BONARIENSE
LEPIDOLITE                                        ,LEPIDOLITA
LEPRA                                             ,LEPRUM
LEPTANDRA                                         ,LEPTANDRA VIRGINICA
LEPTANDRA VIRG                                    ,LEPTANDRA VIRGINICA
LEPTOCAULIS ECHINATUS                             ,APIUM GRAVEOLENS
LEPTOSPIROSE INT ICTEROHAEM                       ,LEPTOSPIROSE INTERROGANS ICTEROHAEMORRHAGIAE
LESPEDEZA CAP                                     ,LESPEDEZA CAPITATA
LEUCANTHEMUM                                      ,CHAMOMILLA
LEUCOSE BOVINA                                    ,LEUCOSE
LEUCOSINAPIS ALBA                                 ,SINAPIS ALBA
LEVAMISOL (H)                                     ,LEVAMISOL CLORIDRATO
LEVEDURA DE CERVEJA (H)                           ,LEVEDO DE CERVEJA
LEVEDURA DE PAO                                   ,FERMENTO BIOLOGICO
LEVISTICUM OFF                                    ,LEVISTICUM OFFICINALE
LEVOMEPROMAZINA SODICA (H)                        ,LEVOMEPROMAZINUM
LEVOMEPROMAZINE (H)                               ,LEVOMEPROMAZINUM
LEVOTIROXINA SODICA                               ,THYROXINUM
LHAMA'S MILK                                      ,LAC GLAMA
LIATRIS PILOSA                                    ,LIATRIS SPICATA
LICHEN ISLANDICUS                                 ,CETRARIA ISLANDICA
LICHEN PULMONARIUS                                ,STICTA PULMONARIA
LICHEN RANGIFERINUS                               ,CLADONIA RANGIFERINA
LICHENOIDES ISLANDICUS                            ,CETRARIA ISLANDICA
LIDOCAINA (H)                                     ,LIDOCAINUM
LIDOCAINA CLORIDRATO (H)                          ,LIDOCAINUM
LIDOCAINUM HYDROCLHORICUM                         ,LIDOCAINUM
LIGAMENTO ARTICULAR                               ,LIGAMENTOS
LIGAMENTO FEMURO TIBIAL                           ,LIGAMENTO JOELHO
LIGAMENTO TOTAL                                   ,LIGAMENTOS
LIGNO BRASILIANO SIMILE                           ,HAEMATOXYLON CAMPECHIANUM
LIGNOCAINUM                                       ,LIDOCAINUM
LILIUM                                            ,LILIUM TIGRINUM
LILIUM LANCIFOLIUM                                ,LILIUM TIGRINUM
LILIUM TIG                                        ,LILIUM TIGRINUM
LILIUM- CONVALLIUM MAJALIS                        ,CONVALLARIA MAJALIS
LIMAO                                             ,CITRUS LIMONUM
LIMAO GALECO                                      ,CITRUS MEDICA
LIMENITES BREDOWII CALIFORNICA SISTER BUTTERFLY   ,LIMENITIS BREDOWII CALIFORNICA
LIMENITIS BRED CAL                                ,LIMENITIS BREDOWII CALIFORNICA
LIMESTONE BURREN                                  ,LIMESTONE
LIMULUS                                           ,LIMULUS CYCLOPS
LIMULUS POLYPHERMUS                               ,LIMULUS CYCLOPS
LINDNERA ALBA                                     ,TILIA TOMENTOSA
LINFONODO                                         ,GLANDULA LINFATICA
LINGUA CERVINA OFFICINARUM                        ,SCOLOPENDRIUM
LINHACA                                           ,LINUM USITATISSIMUM
LINUM                                             ,LINUM USITATISSIMUM
LINUM USIT                                        ,LINUM USITATISSIMUM
LION S MILK                                       ,LAC LEONINUM
LIPPIA DULCIS                                     ,LIPPIA MEXICANA
LIPPIA LIGUSTRINA                                 ,LIPPIA MEXICANA
LIPPIA LYCIOIDES                                  ,LIPPIA MEXICANA
LIPTUS AUCTUMNALIS                                ,THROMBIDIUM MUSCAE DOMESTICAE
LIQUOR AMMONIAE CAUSTICI                          ,AMMONIUM CAUSTICUM
LIQUOR AMMONIAE FORTIER                           ,AMMONIUM CAUSTICUM
LIQUOR HYDRARGYRI NITRATIS ACIDUS                 ,MERCURIUS NITRICUS
LISERGIC ACID                                     ,ACIDUM LYSERGICUM
